ID	OldID	Name	Chebi	Compartment	Formula
M_ascr_22coa		ascr#22-CoA(4-)	CHEBI:139654	c	C40H66N7O21P3S
M_ascr_23		ascr#23(1-)	CHEBI:78961	c | e	C20H35O6
M_ascr_23coa		ascr#23-CoA(4-)	CHEBI:139657	c	C41H66N7O21P3S
M_ascr_24		ascr#24(1-)	CHEBI:78962	c | e	C20H37O6
M_ascr_24coa		ascr#24-CoA(4-)	CHEBI:139660	c	C41H68N7O21P3S
M_ascr_25		ascr#25(1-)	CHEBI:78963	c | e	C21H37O6
M_ascr_25coa		ascr#25-CoA(4-)	CHEBI:139663	c	C42H68N7O21P3S
M_ascr_26		ascr#26(1-)	CHEBI:78964	c | e	C21H39O6
M_ascr_26coa		ascr#26-CoA(4-)	CHEBI:139666	c	C42H70N7O21P3S
M_ascr_27		ascr#27(1-)	CHEBI:78965	c | e	C22H39O6
M_ascr_27coa		ascr#27-CoA(4-)	CHEBI:139669	c	C43H70N7O21P3S
M_ascr_28		ascr#28(1-)	CHEBI:78966	c | e	C22H41O6
M_ascr_28coa		ascr#28-CoA(4-)	CHEBI:139672	c	C43H72N7O21P3S
M_ascr_29		ascr#29(1-)	CHEBI:78967	c | e	C23H41O6
M_ascr_29coa		ascr#29-CoA(4-)	CHEBI:139675	c	C44H72N7O21P3S
M_ascr_3		ascr#3(1-)	CHEBI:78821	c | e	C15H25O6
M_ascr_30		ascr#30(1-)	CHEBI:78968	c | e	C23H43O6
M_ascr_30coa		ascr#30-CoA(4-)	CHEBI:139679	c	C44H74N7O21P3S
M_ascr_31		ascr#31(1-)	CHEBI:78969	c | e	C24H43O6
M_ascr_31coa		ascr#31-CoA(4-)	CHEBI:139682	c	C45H74N7O21P3S
M_ascr_32		ascr#32(1-)	CHEBI:78970	c | e	C24H45O6
M_ascr_32coa		ascr#32-CoA(4-)	CHEBI:139685	c	C45H76N7O21P3S
M_ascr_33		ascr#33(1-)	CHEBI:78971	c | e	C25H45O6
M_ascr_33coa		ascr#33-CoA(4-)	CHEBI:139688	c	C46H76N7O21P3
M_ascr_34		ascr#34(1-)	CHEBI:78972	c | e	C25H47O6
M_ascr_34coa		ascr#34-CoA(4-)	CHEBI:139691	c	C46H78N7O21P3S
